Project,Prototype,Stage,SpecificActivity,DurationWeeks,LabRequired,Flags
Urosim,Trocal model,Demo protoboard,Measure with the sensor and visualize angles,1.0,,
Urosim,Trocal model,Interface and software design,"Implement a basic 3D model, calibration method, and trajectory display",2.0,,
Urosim,Trocal model,Adapted trocar design,"3D design based on the components, PCB or floating setup",1.0,,
Urosim,Trocal model,Trocar prototype,Build the prototype (printing and soldering),1.0,,
Urosim,Trocal model,Integrate with 3D model,Polish the interface or integrate with existing software,1.0,,
Trocasense,Tactibladder,Test sensors,Connect strain gauges to a microcontroller and inspect the signal,0.2,,
Trocasense,Tactibladder,Trocar cover design,Design around handle geometry and component placement,1.0,,
Trocasense,Tactibladder,Circuit design,"Integrate sensors with button, alert, etc.",1.0,,
Trocasense,Tactibladder,Prototype,Integrate circuit design with 3D model,1.0,,
Trocasense,Tactibladder,Test 1,Calibrate forces and define freedom thresholds,1.0,,
Trocasense,Tactibladder,Test 2,Calibrate forces with ex vivo tissue,1.0,,
Urosim,Bladder,Define design,"Propose materials, geometries, and detection methods",1.0,,
Urosim,Bladder,Test materials,Separate and join materials so they close the circuit,1.5,,
Urosim,Bladder,Final design,Build the design,1.0,,
Urosim,Bladder,Integrate into simulator,Integrate into the simulator model,1.0,,
Urosim,Bladder,Testing,"Simulate the procedure and, if possible, integrate with trocar interface",1.0,,
Trocasense,Impedance,First circuit,2 copper plates and multimeter,1.0,Yes,Schedule lab
Trocasense,Impedance,Transform plates into tube concept,"Research impedance circuit shapes, brainstorm, sketch, additional materials",1.0,,
Trocasense,Impedance,Build second circuit,Implement the new configuration,1.0,,
Trocasense,Impedance,Testing,Lab with new configuration and calibration,1.0,Yes,Schedule lab
Trocasense,Impedance,Tissue testing,Get several tissues to calibrate across impedances and compare with commercial circuits,2.0,Yes,Schedule lab
Urosim,Skin,Materials,Define filler material and skin material,1.0,,
Urosim,Skin,Test 1,Small rectangular set to test filler,2.0,,
Urosim,Skin,Real skin,"Model with real anatomy, details, and casting",1.0,,
Urosim,Skin,Molds and final skin manufacturing,"Prepare molds, gels, etc.",1.0,,
Urosim,Skin,Final prototype,Integrate everything and test the procedure,1.0,,
Trocasense,Angles analysis,Test prep,"Talk with lab, marker protocol, schedule data collection",1.0,,
Trocasense,Angles analysis,IBIOMECH test 1,"Collect data with the simulator and us performing the procedure, then process it",1.0,,
Trocasense,Angles analysis,Kinovea test 1,Repeat the simulator test using Kinovea,1.0,,
Trocasense,Angles analysis,Realtime model,Research and implement realtime analysis with alert,2.0,,
Trocasense,Angles analysis,Final testing,Try to involve a clinical specialist for data collection,1.0,,
Urosim,Model base,Leg design,"Limit motion area during the procedure: design, material, mount integration",1.0,,
Urosim,Model base,Mount design,"Real size, fix pelvis, optional rotation",1.0,,
Urosim,Model base,Fixed parts design,"Pelvis with tabs, uterus, and partial bladder",1.0,,
Urosim,Model base,Interchangeable parts design,Skin integrated with pelvis tabs and bladder,1.0,,
Urosim,Model base,Mold design,"Skin, uterus",1.0,,
Urosim,Model base,Mold printing and manufacturing,"Skin, uterus",1.0,,
Urosim,Model base,Model printing,Fixed parts,2.0,,
Urosim,Model base,Integrate and test,"Assemble, simulate procedure, integrate with circuits, etc.",1.0,,
Trocasense,Level,IBIOMECH base for angle analysis,Ask and leverage IBIOMECH to inspect trocar angles during the procedure,1.0,,
Trocasense,Level,First prototype,Level attached to trocar with preliminary angle markings,1.0,,
Trocasense,Level,Kinovea,Define trocar angles from videos,1.0,,
Trocasense,Level,Integrated design,Design the level adapter,2.0,,
Trocasense,Level,Standardize angle guide,Integrate final angle ranges into the final model,2.0,,
Urosim,Assembly,Model base,Prepare simulator assembly base,1.0,,
Urosim,Assembly,Software assembly,CAD integration and piece validation,1.0,,
