Project,Prototype,Stage,Task,Owners,StartDate,EndDate,DurationDays,Status,Progress,WeeklyUpdate,Notes,Priority,LabRequired,CreatedFromTemplate,PinnedWeek1
Urosim,Trocal model,Demo protoboard,Demo protoboard,"[""David""]",2026-03-31,2026-04-06,7,Not Started,0,,Measure with the sensor and visualize angles,Medium,,Yes,False
Urosim,Trocal model,Interface and software design,Interface and software design,"[""David""]",2026-04-07,2026-04-20,14,Not Started,0,,"Implement a basic 3D model, calibration method, and trajectory display",Medium,,Yes,False
Urosim,Trocal model,Adapted trocar design,Adapted trocar design,"[""David""]",2026-04-21,2026-04-27,7,Not Started,0,,"3D design based on the components, PCB or floating setup",Medium,,Yes,False
Urosim,Trocal model,Trocar prototype,Trocar prototype,"[""David""]",2026-04-28,2026-05-04,7,Not Started,0,,Build the prototype (printing and soldering),Medium,,Yes,False
Urosim,Trocal model,Integrate with 3D model,Integrate with 3D model,"[""David""]",2026-05-05,2026-05-11,7,Not Started,0,,Polish the interface or integrate with existing software,Medium,,Yes,False
Trocasense,Tactibladder,Test sensors,Test sensors,"[""David"", ""Stef""]",2026-03-31,2026-03-31,1,Not Started,0,,Connect strain gauges to a microcontroller and inspect the signal,Medium,,Yes,False
Trocasense,Tactibladder,Trocar cover design,Trocar cover design,"[""David"", ""Stef""]",2026-04-01,2026-04-07,7,Not Started,0,,Design around handle geometry and component placement,Medium,,Yes,False
Trocasense,Tactibladder,Circuit design,Circuit design,"[""David"", ""Stef""]",2026-04-08,2026-04-14,7,Not Started,0,,"Integrate sensors with button, alert, etc.",Medium,,Yes,False
Trocasense,Tactibladder,Prototype,Prototype,"[""David"", ""Stef""]",2026-04-15,2026-04-21,7,Not Started,0,,Integrate circuit design with 3D model,Medium,,Yes,False
Trocasense,Tactibladder,Test 1,Test 1,"[""David"", ""Stef""]",2026-04-22,2026-04-28,7,Not Started,0,,Calibrate forces and define freedom thresholds,Medium,,Yes,False
Trocasense,Tactibladder,Test 2,Test 2,"[""David"", ""Stef""]",2026-04-29,2026-05-05,7,Not Started,0,,Calibrate forces with ex vivo tissue,Medium,,Yes,False
Urosim,Bladder,Define design,Define design,"[""David"", ""Stef""]",2026-03-31,2026-04-06,7,Not Started,0,,"Propose materials, geometries, and detection methods",Medium,,Yes,False
Urosim,Bladder,Test materials,Test materials,"[""David"", ""Stef""]",2026-04-07,2026-04-16,10,Not Started,0,,Separate and join materials so they close the circuit,Medium,,Yes,False
Urosim,Bladder,Final design,Final design,"[""David"", ""Stef""]",2026-04-17,2026-04-23,7,Not Started,0,,Build the design,Medium,,Yes,False
Urosim,Bladder,Integrate into simulator,Integrate into simulator,"[""David"", ""Stef""]",2026-04-24,2026-04-30,7,Not Started,0,,Integrate into the simulator model,Medium,,Yes,False
Urosim,Bladder,Testing,Testing,"[""David"", ""Stef""]",2026-05-01,2026-05-07,7,Not Started,0,,"Simulate the procedure and, if possible, integrate with trocar interface",Medium,,Yes,False
Trocasense,Impedance,First circuit,First circuit,"[""José"", ""Santiago"", ""Andrea""]",2026-03-31,2026-04-06,7,Not Started,0,,2 copper plates and multimeter,Medium,Yes,Yes,False
